,CFIBF,RACCB,JS,nonRedudantComparisonsP1,nonRedudantComparisonsP2,label
110532,347.9308546963032,0.003676470588235294,0.025477707006369428,116.0,128.0,1
122687,109.27169497178375,1.0,0.037037037037037035,35.0,16.0,1
1114,126.53551006755177,0.004761904761904762,0.02027027027027027,41.0,60.0,0
3920,171.20821520130565,0.03333333333333333,0.026490066225165563,38.0,70.0,0
10704,132.90257034896084,0.0017482517482517483,0.03508771929824561,18.0,22.0,1
12437,198.3302883284862,0.004166666666666667,0.026143790849673203,36.0,37.0,1
13,51.03291595909977,0.00392156862745098,0.025,3.0,29.0,0
1704,177.04772828960532,0.020833333333333332,0.02857142857142857,61.0,54.0,0
3229,205.0153652805052,0.001976284584980237,0.02262443438914027,58.0,99.0,0
9622,91.72484143000152,0.25,0.02857142857142857,10.0,36.0,0
118296,132.90257034896084,0.001851851851851852,0.028985507246376812,21.0,27.0,1
9118,142.78871897956384,0.02040816326530612,0.03,9.0,55.0,0
16663,99.49394807202943,0.02040816326530612,0.028985507246376812,22.0,24.0,0
92202,248.73487018007359,0.02040816326530612,0.031055900621118012,58.0,76.0,1
83543,222.5239650712268,0.004166666666666667,0.02564102564102564,33.0,58.0,1
2434,198.63567981697673,0.0005787037037037037,0.026041666666666668,65.0,70.0,0
7824,114.99131024968256,0.02857142857142857,0.03225806451612903,39.0,9.0,0
7516,190.38495863941847,0.0022222222222222222,0.029197080291970802,38.0,51.0,0
4522,91.72484143000152,0.08333333333333333,0.04081632653061224,21.0,11.0,0
11794,216.24755828531787,0.003472222222222222,0.017857142857142856,68.0,105.0,0
129061,215.86659451114033,0.000819000819000819,0.032520325203252036,50.0,40.0,1
8729,221.4677354191377,0.00037257824143070045,0.023255813953488372,45.0,141.0,1
18228,132.90257034896084,0.011363636363636364,0.09090909090909091,9.0,11.0,1
8223,217.4567841851895,0.005917159763313609,0.023148148148148147,48.0,71.0,0
10026,121.80222633980303,0.00909090909090909,0.030612244897959183,26.0,20.0,0
3804,144.25753770757063,0.016666666666666666,0.0375,9.0,59.0,0
7160,177.17418833531016,0.023809523809523808,0.04,22.0,39.0,0
8514,133.20935172194123,0.05,0.045454545454545456,29.0,3.0,0
25928,212.4345707117278,0.0006349206349206349,0.02702702702702703,52.0,81.0,0
136754,132.90257034896084,0.00390625,0.029411764705882353,35.0,33.0,1
35752,157.82034502489236,0.1111111111111111,0.10344827586206896,8.0,8.0,0
14355,214.01026900163208,0.02857142857142857,0.07042253521126761,9.0,38.0,0
9477,91.54320677793874,0.0002192982456140351,0.029850746268656716,19.0,29.0,0
87642,173.33010636402565,0.006944444444444444,0.07142857142857142,12.0,23.0,1
23298,180.01552184906168,0.25,0.125,12.0,11.0,1
15203,174.46845510371034,0.02,0.043010752688172046,52.0,22.0,0
