,CFIBF,RACCB,JS,nonRedudantComparisonsP1,nonRedudantComparisonsP2,label
23095,77.59717846335487,0.0010214504596527069,0.016666666666666666,75.0,81.0,1
2447,83.23346866662474,0.1111111111111111,0.03125,32.0,40.0,1
3250,34.65040531978519,0.0006666666666666666,0.012658227848101266,36.0,43.0,1
28151,95.80583399630329,0.007407407407407408,0.02564102564102564,19.0,95.0,1
6613,33.46182423727881,0.0009157509157509158,0.009523809523809525,72.0,13.0,1
2604,73.61104623279537,1.0,0.06060606060606061,31.0,1.0,1
2122,206.05988690976247,0.03125,0.04487179487179487,23.0,119.0,1
10903,56.85474387049281,0.0026455026455026454,0.009433962264150943,26.0,140.0,1
23,29.437126701394636,0.015625,0.008695652173913044,38.0,44.0,0
42,28.74709278228795,0.022727272727272728,0.009259259259259259,56.0,44.0,0
13788,46.01361775069839,1.0,0.008130081300813009,115.0,101.0,1
17819,83.21059735037839,0.009615384615384616,0.06666666666666667,16.0,13.0,1
846,31.36262378063308,0.0011123470522803114,0.013157894736842105,29.0,38.0,1
191,43.41092833269323,0.012195121951219513,0.004784688995215311,54.0,146.0,0
58964,36.80552311639769,0.0025252525252525255,0.008849557522123894,48.0,63.0,1
375,28.2944571502549,0.0016611295681063123,0.009345794392523364,18.0,68.0,0
578,31.9851944697009,0.007042253521126761,0.006493506493506494,37.0,90.0,0
37801,33.12132490889616,0.0018115942028985507,0.007042253521126761,81.0,57.0,1
41086,32.73532829038444,0.0029239766081871343,0.006666666666666667,82.0,22.0,1
101,29.81473342004669,0.0025,0.010752688172043012,56.0,30.0,0
750,31.935277998767763,0.004830917874396135,0.008064516129032258,29.0,85.0,0
171,32.26624146620151,0.015625,0.011494252873563218,24.0,44.0,0
338,32.56831786754327,0.0007541478129713424,0.009174311926605505,21.0,77.0,0
782,31.935277998767763,0.001893939393939394,0.012048192771084338,29.0,37.0,0
887,29.904001702824317,0.010416666666666666,0.013157894736842105,29.0,38.0,0
44,31.19116159596869,0.1111111111111111,0.014925373134328358,56.0,5.0,0
37405,31.935277998767763,0.002380952380952381,0.016129032258064516,17.0,31.0,1
354,31.580037487819826,0.1,0.015384615384615385,21.0,38.0,0
1002,40.17516056900875,0.002631578947368421,0.00477326968973747,101.0,121.0,0
323,32.56831786754327,0.0007541478129713424,0.012658227848101266,21.0,46.0,0
296,47.77318696052122,0.0015873015873015873,0.005988023952095809,38.0,144.0,0
1812,33.27599623234974,0.0011123470522803114,0.005263157894736842,100.0,46.0,0
24225,43.80146483810307,0.02,0.007874015748031496,87.0,126.0,1
1814,34.51183618697126,0.0011123470522803114,0.005988023952095809,100.0,30.0,0
6525,33.46182423727881,0.009615384615384616,0.011494252873563218,18.0,53.0,1
353,31.580037487819826,0.1,0.023809523809523808,21.0,12.0,0
13396,110.92686543971902,0.25,0.05263157894736842,30.0,15.0,1
695,31.02460987041342,0.0006779661016949153,0.02040816326530612,38.0,4.0,0
3859,32.73532829038444,0.015625,0.00819672131147541,61.0,35.0,0
35,33.12132490889616,0.016666666666666666,0.012658227848101266,38.0,20.0,0
2449,34.02906421960072,0.027777777777777776,0.017857142857142856,32.0,15.0,0
364,34.02906421960072,0.125,0.018867924528301886,18.0,31.0,0
5004,36.44752288275134,0.0030959752321981426,0.01818181818181818,33.0,11.0,1
61531,33.94227725119701,0.00390625,0.007407407407407408,35.0,91.0,1
325,33.77787529730385,0.0007541478129713424,0.017857142857142856,21.0,30.0,0
52154,34.51183618697126,0.0007541478129713424,0.008928571428571428,60.0,35.0,1
46098,35.543017004155395,0.08333333333333333,0.017857142857142856,41.0,12.0,1
501,32.73532829038444,0.020833333333333332,0.0070921985815602835,103.0,25.0,0
162,33.27599623234974,0.001984126984126984,0.007407407407407408,24.0,94.0,0
54464,33.55093015913486,0.004166666666666667,0.016666666666666666,26.0,26.0,1
1417,33.94227725119701,0.0010869565217391304,0.007518796992481203,20.0,85.0,0
357,35.33726603969192,0.1,0.022727272727272728,21.0,20.0,0
32309,35.33726603969192,0.027777777777777776,0.015151515151515152,29.0,30.0,1
16,33.12132490889616,0.002380952380952381,0.009900990099009901,38.0,39.0,0
145,36.105110997156615,0.002,0.020833333333333332,24.0,20.0,0
269,33.94227725119701,0.002,0.011627906976744186,32.0,39.0,0
55904,33.13112815139902,0.004166666666666667,0.01639344262295082,27.0,26.0,1
30020,73.95124362647935,0.005128205128205128,0.0392156862745098,29.0,15.0,1
821,34.02906421960072,0.0033222591362126247,0.01020408163265306,29.0,59.0,0
148,36.105110997156615,0.002,0.015625,24.0,39.0,0
816,37.980552799569715,0.002,0.011627906976744186,32.0,38.0,0
564,35.543017004155395,0.002380952380952381,0.010869565217391304,37.0,27.0,0
693,34.47558329576425,0.0008605851979345956,0.01639344262295082,38.0,21.0,0
21645,32.0071185599074,0.0030959752321981426,0.009259259259259259,68.0,20.0,1
7172,34.07829579150304,0.004166666666666667,0.013333333333333334,28.0,47.0,1
300,57.3175574980073,0.001451378809869376,0.009900990099009901,38.0,103.0,0
64654,36.30451701457421,1.0,0.023255813953488372,18.0,26.0,1
31818,33.94227725119701,0.0625,0.0136986301369863,29.0,43.0,1
6,61.93241422456734,0.002380952380952381,0.017857142857142856,38.0,32.0,0
166,33.27599623234974,0.047619047619047616,0.01694915254237288,24.0,30.0,0
9614,64.91378650189755,0.001443001443001443,0.018691588785046728,70.0,32.0,1
64038,65.0548056775271,0.0018115942028985507,0.015625,41.0,74.0,1
447,56.80733329224708,0.001941747572815534,0.007168458781362007,103.0,142.0,0
698,53.974459561564935,0.007246376811594203,0.011976047904191617,38.0,115.0,0
5531,35.34393241528672,0.0011123470522803114,0.011494252873563218,47.0,32.0,1
7589,35.004482660656365,0.004166666666666667,0.012195121951219513,25.0,57.0,1
582,35.543017004155395,0.0025252525252525255,0.008333333333333333,37.0,63.0,0
1406,58.875345758646546,1.0,0.007042253521126761,20.0,252.0,1
1071,49.164883121736445,0.002976190476190476,0.007042253521126761,101.0,35.0,0
19475,57.4941855645759,0.1111111111111111,0.010362694300518135,98.0,32.0,1
58694,55.14727289012517,0.001443001443001443,0.010309278350515464,57.0,97.0,1
32280,34.51183618697126,0.02,0.017857142857142856,40.0,12.0,1
36466,31.02460987041342,0.008928571428571428,0.00819672131147541,81.0,18.0,1
57990,29.51033565730982,1.0,0.009900990099009901,69.0,6.0,1
407,50.2537822163393,0.002,0.008620689655172414,103.0,98.0,0
767,34.65040531978519,0.05555555555555555,0.02,29.0,14.0,0
59745,50.2537822163393,0.0625,0.008620689655172414,108.0,107.0,1
2024,35.543017004155395,0.0034965034965034965,0.013157894736842105,39.0,26.0,1
44410,108.31533299146984,0.002,0.05660377358490566,23.0,20.0,1
585,35.543017004155395,0.013888888888888888,0.013888888888888888,37.0,15.0,0
26367,106.70072087126766,0.008771929824561403,0.026845637583892617,73.0,34.0,1
12438,87.3649042313601,1.0,0.02586206896551724,69.0,39.0,1
41871,88.49733961696397,0.004166666666666667,0.03409090909090909,55.0,29.0,1
19829,89.74093371024993,0.0033222591362126247,0.020689655172413793,49.0,80.0,1
16728,145.0295991279897,0.25,0.06329113924050633,37.0,25.0,1
42980,87.01775947679381,0.006493506493506494,0.046153846153846156,30.0,15.0,0
55516,27.822808935947737,0.003125,0.004694835680751174,38.0,145.0,0
16097,26.374983696852322,0.0026455026455026454,0.0038314176245210726,91.0,105.0,0
8026,26.18177721447666,0.009259259259259259,0.006622516556291391,30.0,104.0,0
63474,24.7874760642156,0.003861003861003861,0.004405286343612335,41.0,167.0,0
