,CFIBF,RACCB,JS,nonRedudantComparisonsP1,nonRedudantComparisonsP2,label
66321,193.12815422445027,0.000496031746031746,0.005312084993359893,693.0,38.0,1
183869,58.575984332210716,0.015384615384615385,0.038461538461538464,17.0,8.0,1
371340,118.7215823068877,0.0018867924528301887,0.009478672985781991,172.0,31.0,1
933,59.36079115344385,0.0008802816901408451,0.007633587786259542,69.0,60.0,0
90471,123.3584189463236,0.0011037527593818985,0.0049261083743842365,397.0,9.0,1
190682,54.85086989315975,0.0049261083743842365,0.0029069767441860465,330.0,11.0,1
62484,380.48274325776225,0.00011204481792717087,0.02142857142857143,327.0,62.0,1
1357211,56.0931640585996,0.0007751937984496124,0.00390625,252.0,4.0,1
543,44.890916539659365,0.025,0.005208333333333333,150.0,26.0,0
34221,169.12263316530064,0.0002768549280177187,0.012345679012345678,144.0,56.0,1
576,51.97644078061736,0.002564102564102564,0.005917159763313609,150.0,3.0,0
1821,54.666383020993166,0.00027056277056277056,0.005434782608695652,158.0,21.0,0
999,54.85086989315975,0.00012436264146250465,0.00847457627118644,69.0,46.0,0
437097,76.59938041104864,0.0003360215053763441,0.009900990099009901,82.0,20.0,1
1159,60.917709462742984,6.69882100750268e-05,0.006024096385542169,163.0,1.0,0
58,57.562486195179545,8.685079034219212e-05,0.002008032128514056,463.0,17.0,0
886356,53.27098591414912,0.5,0.016666666666666666,54.0,2.0,1
571974,54.666383020993166,0.002898550724637681,0.002890173410404624,284.0,22.0,1
43,97.22882923520143,8.685079034219212e-05,0.0037243947858473,463.0,47.0,0
2091,56.37421105510021,0.0005030181086519115,0.003745318352059925,242.0,23.0,0
940,61.6792094731618,0.0008802816901408451,0.009433962264150943,69.0,37.0,0
230566,109.33276604198633,0.00027056277056277056,0.005208333333333333,357.0,18.0,1
818001,64.94683656800603,0.004166666666666667,0.007874015748031496,125.0,1.0,1
636930,43.32693020889869,0.027777777777777776,0.004366812227074236,211.0,9.0,1
536,49.715461943802744,0.1,0.001941747572815534,463.0,33.0,0
669647,70.53288198256824,0.0004472271914132379,0.004672897196261682,191.0,17.0,1
89,140.45807630884906,8.685079034219212e-05,0.0055658627087198514,463.0,52.0,0
274680,157.8346953539674,0.00012436264146250465,0.004658385093167702,604.0,27.0,1
535,51.01772452767153,0.1,0.002036659877800407,463.0,7.0,0
89442,148.08415380879472,7.086167800453515e-05,0.005136986301369863,506.0,26.0,1
1275,60.917709462742984,0.007352941176470588,0.005988023952095809,163.0,2.0,0
2299,52.61156511798914,0.000984251968503937,0.003278688524590164,281.0,22.0,0
65,102.03544905534307,8.685079034219212e-05,0.0039603960396039604,463.0,25.0,0
619817,136.2464319092409,0.006060606060606061,0.005597014925373134,433.0,77.0,1
2175,52.61156511798914,0.010416666666666666,0.0038022813688212928,242.0,19.0,0
1162800,98.5296489571951,0.0011574074074074073,0.004024144869215292,441.0,26.0,1
2599,54.255198752799856,0.0012406947890818859,0.003278688524590164,281.0,22.0,0
950,61.6792094731618,0.0008802816901408451,0.011764705882352941,69.0,16.0,0
444905,61.6792094731618,0.25,0.013157894736842105,75.0,2.0,1
928,64.94683656800603,0.0008802816901408451,0.011904761904761904,69.0,15.0,0
2269,56.37421105510021,0.000984251968503937,0.003401360544217687,281.0,11.0,0
51,138.20041035144334,8.685079034219212e-05,0.005649717514124294,463.0,32.0,0
1201,96.89288102001147,6.69882100750268e-05,0.01098901098901099,163.0,18.0,0
40,163.99914906297948,8.685079034219212e-05,0.006,463.0,16.0,0
64185,227.07738651540149,9.850275807722617e-05,0.010330578512396695,436.0,39.0,1
309791,190.02389086938058,8.163265306122449e-05,0.008368200836820083,409.0,25.0,1
1698,93.63871753923272,0.0006901311249137336,0.00975609756097561,158.0,40.0,0
2168,54.255198752799856,0.010416666666666666,0.00398406374501992,242.0,7.0,0
547,87.79343664512199,0.025,0.010582010582010581,150.0,23.0,0
4338,51.26861865445621,0.05,0.00267379679144385,362.0,10.0,0
1249935,56.0931640585996,0.1111111111111111,0.0037313432835820895,260.0,5.0,1
1161040,92.88814650062565,0.007142857142857143,0.007434944237918215,204.0,24.0,1
287038,105.22313023597827,0.00015508684863523573,0.003284072249589491,588.0,9.0,1
238176,59.36079115344385,0.0014124293785310734,0.0045045045045045045,217.0,4.0,1
783,98.72276920586316,0.0014925373134328358,0.011428571428571429,150.0,10.0,0
217751,109.7017397863195,6.089392278650591e-05,0.00425531914893617,466.0,6.0,1
2207,56.37421105510021,0.010416666666666666,0.003937007874015748,242.0,11.0,0
1235078,134.58828706540933,6.69882100750268e-05,0.006993006993006993,406.0,15.0,1
