,CFIBF,RACCB,JS,nonRedudantComparisonsP1,nonRedudantComparisonsP2
0,298.4818442160883,1.0,0.5,3.0,5.0
25,506.64311578137375,0.25,0.07222222222222222,60.0,63.0
123,340.61807942322343,0.0013736263736263737,0.0457516339869281,62.0,79.0
209,602.7615339259607,0.005050505050505051,0.04748603351955307,130.0,137.0
363,333.1736776189823,0.05,0.1891891891891892,16.0,16.0
394,638.218094745135,0.25,0.06844106463878327,98.0,104.0
535,397.7258464080815,0.0029239766081871343,0.05027932960893855,82.0,90.0
624,428.02053800326416,0.027777777777777776,0.07518796992481203,42.0,45.0
681,428.02053800326416,1.0,0.11494252873563218,39.0,40.0
739,222.5239650712268,0.1111111111111111,0.21052631578947367,6.0,7.0
746,519.2279043252194,1.0,0.06989247311827956,63.0,82.0
828,333.1736776189823,0.1111111111111111,0.11666666666666667,26.0,29.0
873,492.0368766732125,0.1111111111111111,0.058823529411764705,56.0,87.0
967,366.17282711175494,0.0625,0.08333333333333333,40.0,44.0
1051,457.20440635924024,0.015873015873015872,0.12941176470588237,23.0,26.0
1091,463.96353691435655,0.04,0.09090909090909091,41.0,53.0
1197,428.02053800326416,0.001851851851851852,0.05235602094240838,66.0,83.0
1284,333.1736776189823,0.002380952380952381,0.040697674418604654,70.0,66.0
1374,428.02053800326416,0.0009009009009009009,0.05102040816326531,76.0,77.0
1450,457.20440635924024,1.0,0.05945945945945946,85.0,87.0
1557,291.9583537913344,0.000925925925925926,0.05128205128205128,37.0,59.0
1598,457.70171040238284,0.006944444444444444,0.0718954248366013,61.0,85.0
1788,291.9583537913344,0.008264462809917356,0.08333333333333333,25.0,35.0
1823,333.1736776189823,0.0029239766081871343,0.08045977011494253,40.0,40.0
1953,428.02053800326416,0.03333333333333333,0.045454545454545456,84.0,86.0
2050,463.96353691435655,0.0017391304347826088,0.05339805825242718,67.0,84.0
2139,397.7258464080815,0.1111111111111111,0.11842105263157894,31.0,37.0
2189,361.08430577818933,0.04,0.06201550387596899,36.0,57.0
2247,457.20440635924024,0.015625,0.05583756345177665,93.0,92.0
2360,457.20440635924024,0.013888888888888888,0.10476190476190476,32.0,38.0
2426,558.9753054533098,0.041666666666666664,0.07614213197969544,65.0,64.0
2520,398.357388651612,0.0013736263736263737,0.09473684210526316,34.0,56.0
2635,463.96353691435655,0.0015432098765432098,0.04182509505703422,90.0,108.0
2788,222.5239650712268,1.0,0.16,10.0,13.0
2816,506.64311578137375,0.017857142857142856,0.14942528735632185,24.0,35.0
2861,485.39616180214324,0.0029411764705882353,0.043795620437956206,86.0,98.0
2951,281.3229983823918,0.08333333333333333,0.06060606060606061,45.0,30.0
3027,428.02053800326416,0.01,0.06493506493506493,58.0,58.0
3125,397.7258464080815,0.5,0.05142857142857143,82.0,82.0
3245,415.6403694174911,0.03333333333333333,0.06172839506172839,58.0,65.0
3312,428.02053800326416,0.015873015873015872,0.05,55.0,67.0
3511,428.02053800326416,0.015873015873015872,0.05649717514124294,59.0,66.0
3600,428.02053800326416,0.0029411764705882353,0.04739336492890995,78.0,89.0
3696,379.60653020265534,0.006993006993006993,0.04265402843601896,99.0,69.0
3817,366.17282711175494,0.041666666666666664,0.04519774011299435,74.0,73.0
3898,222.5239650712268,0.25,0.11428571428571428,15.0,18.0
3983,385.2184842029377,0.03333333333333333,0.09574468085106383,26.0,35.0
4023,298.4818442160883,0.0006105006105006105,0.05172413793103448,57.0,49.0
4139,298.4818442160883,1.0,0.041666666666666664,46.0,50.0
4199,354.09545657921063,0.0004180602006688963,0.0625,60.0,37.0
4276,391.42221153334106,0.0025,0.03862660944206009,66.0,71.0
4344,333.1736776189823,0.013888888888888888,0.07291666666666667,26.0,25.0
4380,333.1736776189823,0.16666666666666666,0.05555555555555555,52.0,60.0
4467,513.1006511170359,0.005128205128205128,0.14606741573033707,27.0,46.0
4523,434.913568370379,0.08333333333333333,0.1282051282051282,21.0,45.0
4571,366.17282711175494,0.007575757575757576,0.04395604395604396,73.0,78.0
4722,428.02053800326416,0.000819000819000819,0.0411522633744856,96.0,99.0
4817,428.02053800326416,0.0010080645161290322,0.07352941176470588,57.0,67.0
4886,366.8993657200061,0.006944444444444444,0.05063291139240506,53.0,90.0
4974,519.2279043252194,0.006944444444444444,0.05508474576271186,83.0,105.0
5103,404.772710658705,0.012345679012345678,0.034482758620689655,84.0,109.0
5193,398.357388651612,0.0009009009009009009,0.046875,64.0,77.0
5261,479.28729630020257,1.0,0.11538461538461539,35.0,61.0
5325,428.02053800326416,1.0,0.15873015873015872,24.0,31.0
5388,298.4818442160883,0.012345679012345678,0.0759493670886076,29.0,30.0
5437,434.913568370379,0.0022727272727272726,0.07751937984496124,49.0,51.0
5482,404.772710658705,0.25,0.08737864077669903,37.0,35.0
5523,333.1736776189823,0.25,0.05343511450381679,57.0,57.0
5617,428.02053800326416,0.04,0.15151515151515152,19.0,39.0
5673,428.02053800326416,0.04,0.032362459546925564,79.0,90.0
5762,545.6156631491717,0.001976284584980237,0.03932584269662921,114.0,140.0
5914,444.94648165196463,0.05,0.06748466257668712,55.0,51.0
6023,428.02053800326416,0.02040816326530612,0.05847953216374269,65.0,67.0
6104,397.7258464080815,1.0,0.14754098360655737,15.0,21.0
6139,333.1736776189823,0.004761904761904762,0.0546875,40.0,40.0
6217,428.02053800326416,0.010416666666666666,0.07142857142857142,45.0,54.0
6273,539.1770158911615,0.007692307692307693,0.12844036697247707,35.0,40.0
6368,261.76049516128296,0.0018115942028985507,0.058823529411764705,39.0,39.0
6399,434.913568370379,0.25,0.19607843137254902,12.0,24.0
6432,519.2279043252194,0.08333333333333333,0.06435643564356436,61.0,90.0
6517,366.17282711175494,0.16666666666666666,0.13114754098360656,26.0,26.0
6570,359.79796502996,0.007575757575757576,0.05128205128205128,65.0,55.0
6665,333.1736776189823,0.004761904761904762,0.05511811023622047,51.0,59.0
6726,626.925371194324,0.015873015873015872,0.09,78.0,59.0
6831,298.4818442160883,0.25,0.03592814371257485,59.0,65.0
6912,638.218094745135,1.0,0.07929515418502203,81.0,87.0
7041,340.61807942322343,1.0,0.5,2.0,4.0
7064,428.02053800326416,0.5,0.11764705882352941,39.0,38.0
7124,366.17282711175494,0.25,0.1111111111111111,22.0,26.0
