,CFIBF,RACCB,JS,nonRedudantComparisonsP1,nonRedudantComparisonsP2
12,103.95121595935558,0.002380952380952381,0.02631578947368421,38.0,36.0
43,89.44420026014006,0.1111111111111111,0.030612244897959183,56.0,37.0
140,38.35070571792637,0.022727272727272728,0.02631578947368421,24.0,13.0
189,161.9233786846948,0.002380952380952381,0.03821656050955414,54.0,71.0
257,101.82683175359104,0.0023148148148148147,0.027522935779816515,32.0,48.0
281,69.97750455677188,0.003401360544217687,0.021505376344086023,38.0,35.0
339,101.33362589191157,0.007042253521126761,0.025,21.0,90.0
358,152.05464997254612,1.0,0.04716981132075472,18.0,86.0
509,90.57754092629385,0.05555555555555555,0.058823529411764705,36.0,11.0
577,127.9407778788036,0.002380952380952381,0.037383177570093455,37.0,32.0
617,131.86327223068264,1.0,0.03496503496503497,74.0,34.0
708,93.07382961124026,0.03333333333333333,0.02830188679245283,38.0,63.0
757,95.80583399630329,0.16666666666666666,0.05357142857142857,29.0,17.0
792,99.13258612191191,0.013888888888888888,0.028037383177570093,32.0,33.0
846,31.36262378063308,0.0011123470522803114,0.013157894736842105,29.0,38.0
900,75.96110559913943,0.0125,0.028985507246376812,29.0,37.0
915,145.0295991279897,0.002,0.03597122302158273,58.0,57.0
984,212.7579304386781,0.25,0.024886877828054297,101.0,89.0
1107,149.21729640475144,0.0011123470522803114,0.021739130434782608,63.0,62.0
1217,121.4356364186502,0.16666666666666666,0.02962962962962963,67.0,37.0
1246,161.33120733100753,0.002380952380952381,0.04504504504504504,37.0,42.0
1364,89.74093371024993,0.010416666666666666,0.018292682926829267,98.0,37.0
1435,83.62430059384909,0.047619047619047616,0.03409090909090909,47.0,38.0
1506,141.1922474478322,1.0,0.03676470588235294,70.0,51.0
1640,197.783145482412,0.0030959752321981426,0.027700831024930747,79.0,122.0
1727,58.22553786940321,0.04,0.02857142857142857,27.0,42.0
1744,87.01775947679381,0.5,0.0297029702970297,64.0,22.0
1810,122.69186662406462,1.0,0.01834862385321101,100.0,75.0
1919,115.24435726268472,0.00980392156862745,0.0213903743315508,42.0,115.0
