,CFIBF,RACCB,JS,nonRedudantComparisonsP1,nonRedudantComparisonsP2
558,295.93102253381505,1.0,0.035897435897435895,150.0,31.0
981,129.89367313601207,0.0008802816901408451,0.023529411764705882,69.0,16.0
1302,248.57730971901373,0.007352941176470588,0.02857142857142857,163.0,11.0
1665,298.29277166281645,0.16666666666666666,0.03389830508474576,158.0,15.0
2443,169.12263316530064,0.00423728813559322,0.010273972602739725,281.0,9.0
2801,317.9083411215621,0.3333333333333333,0.014989293361884369,435.0,23.0
3373,403.7600919456027,0.00028935185185185184,0.012578616352201259,709.0,66.0
4319,290.6786430600344,0.013157894736842105,0.015915119363395226,362.0,15.0
6961,248.57730971901373,0.04,0.008169934640522876,575.0,31.0
7631,317.9083411215621,0.02631578947368421,0.008158508158508158,813.0,19.0
9242,273.7455741933315,0.06666666666666667,0.011741682974559686,489.0,13.0
11009,380.4827432577622,0.00031486146095717883,0.008395522388059701,943.0,61.0
12069,200.53269439248012,0.00043010752688172043,0.011461318051575931,332.0,16.0
12751,298.29277166281645,0.0008130081300813008,0.01662049861495845,323.0,30.0
13646,205.07447461782485,0.001366120218579235,0.01951219512195122,170.0,27.0
14206,225.49684422040085,0.0006613756613756613,0.03125,111.0,15.0
14728,231.6215913677339,0.0021141649048625794,0.0077279752704791345,560.0,57.0
15240,339.1962535245081,0.0125,0.019002375296912115,379.0,26.0
15867,255.08862263835766,0.0004816955684007707,0.015384615384615385,300.0,18.0
16254,311.67126875801046,0.007042253521126761,0.01728395061728395,372.0,27.0
16991,242.23220255002866,0.0024691358024691358,0.016286644951140065,257.0,41.0
17450,181.6619092123212,0.0022222222222222222,0.017094017094017096,174.0,57.0
17800,176.91009818439235,0.002173913043478261,0.014598540145985401,229.0,38.0
18451,153.80585596336863,0.00980392156862745,0.02112676056338028,110.0,15.0
18993,189.4939927029226,0.0003450655624568668,0.00425531914893617,906.0,20.0
19618,356.91058202673025,0.16666666666666666,0.018957345971563982,368.0,35.0
21073,349.9083211877583,0.0004975124378109452,0.015037593984962405,486.0,41.0
22087,242.23220255002866,0.014285714285714285,0.011627906976744186,361.0,34.0
22701,255.2937166295236,0.00390625,0.031413612565445025,170.0,7.0
23291,163.99914906297948,0.07692307692307693,0.02054794520547945,136.0,3.0
24756,253.65516217184145,0.013888888888888888,0.01812688821752266,255.0,49.0
25450,269.3454992379561,0.007246376811594203,0.013043478260869565,428.0,11.0
26086,123.3584189463236,0.1,0.025974025974025976,72.0,7.0
26210,290.6786430600344,1.0,0.014962593516209476,364.0,29.0
26939,278.6644395018769,0.02564102564102564,0.027522935779816515,192.0,21.0
29159,326.322703330836,0.0008032128514056225,0.015717092337917484,465.0,34.0
30018,194.45765847040286,0.2,0.017316017316017316,219.0,10.0
30304,302.7361292060771,0.01098901098901099,0.017412935323383085,314.0,54.0
31212,224.45458269829683,0.010869565217391304,0.007122507122507123,666.0,18.0
32018,193.78576204002295,0.0044444444444444444,0.02877697841726619,94.0,31.0
32379,344.2840372325834,0.5,0.01015228426395939,715.0,56.0
33072,278.6644395018769,0.002173913043478261,0.016901408450704224,302.0,37.0
33638,217.02079501119943,0.00020703933747412008,0.011764705882352941,328.0,11.0
34221,169.12263316530064,0.0002768549280177187,0.012345679012345678,144.0,56.0
34751,290.6786430600344,1.0,0.03508771929824561,140.0,29.0
35338,284.24098905438393,0.0004975124378109452,0.01643835616438356,329.0,32.0
35740,301.2485325785105,0.002197802197802198,0.012704174228675136,501.0,39.0
36557,242.23220255002866,0.002506265664160401,0.015432098765432098,292.0,25.0
37010,273.7455741933315,0.0023148148148148147,0.02054794520547945,202.0,45.0
37422,190.64257616319486,0.00205761316872428,0.02040816326530612,153.0,34.0
37750,198.86184777521098,0.25,0.02702702702702703,131.0,7.0
38260,368.8346724812768,0.00021701388888888888,0.01485148514851485,537.0,42.0
38927,349.59252939433946,0.5,0.02702702702702703,294.0,18.0
39617,218.66553208397266,0.0003586800573888092,0.022598870056497175,142.0,31.0
39910,312.296759273389,0.008771929824561403,0.015945330296127564,363.0,58.0
40463,243.07207308800358,0.0016260162601626016,0.01557632398753894,302.0,18.0
40870,236.86749087865329,1.0,0.025380710659898477,159.0,36.0
41198,240.39822681309582,5.3504547886570356e-05,0.0136986301369863,398.0,37.0
42591,320.562594765588,0.0004784688995215311,0.007525870178739417,1000.0,39.0
43852,394.26250259288776,0.0009671179883945841,0.017605633802816902,487.0,52.0
44732,290.6786430600344,0.006060606060606061,0.018404907975460124,300.0,18.0
45062,317.9083411215621,0.007936507936507936,0.011093502377179081,593.0,27.0
45966,227.07738651540149,0.0017857142857142857,0.028089887640449437,154.0,24.0
46551,243.07207308800358,6.69882100750268e-05,0.023474178403755867,171.0,28.0
46861,284.24098905438393,0.002173913043478261,0.021352313167259787,238.0,30.0
47324,226.930171782798,0.004807692307692308,0.01006036217303823,463.0,16.0
47991,415.96335387208904,0.001451378809869376,0.02242152466367713,324.0,55.0
48772,169.12263316530064,0.014285714285714285,0.013888888888888888,205.0,10.0
49319,349.9083211877583,0.0004938271604938272,0.01225114854517611,605.0,39.0
51260,312.296759273389,0.1111111111111111,0.07446808510638298,70.0,17.0
51681,273.7455741933315,0.006535947712418301,0.007272727272727273,795.0,9.0
53041,162.76559625839957,1.0,0.10344827586206896,23.0,3.0
53131,258.21302792443754,0.013888888888888888,0.005159071367153913,1048.0,45.0
